placeName,Date:Count_ChildDeliveryEvent_InPublicInstitution,Value:Count_ChildDeliveryEvent_InPublicInstitution,Value:Count_ChildDeliveryEvent_InAnInstitution,Value:Count_PregnancyEvent,Value:Count_ChildDeliveryEvent_AtHome,Value:Count_ChildDeliveryEvent_AtHome_WithStandbyAssist,Value:Count_ChildDeliveryEvent,Value:Count_PregnantWomen_RegisteredForAntenatalCare,Value:Count_DeliveryEvent_Safe_AsFractionOf_Count_DeliveryEvent,Value:Count_PregnantWomen_RegisteredForAntenatalCareWithinFirstTrimester
Telangana,2019-03,326350,609362,689930,829,585,610191,758446,100,487639
Telangana,2020-03,295575,620665,694700,588,314,621253,759098,100,541937
Tripura,2009-03,30621,31928,66000,11257,1234,43185,62204,76.8,28471
Tripura,2010-03,36605,36707,61000,9221,662,45928,72676,81.4,34025
Tripura,2011-03,38035,39815,61000,7951,319,47766,67891,84,35967
Tripura,2012-03,41927,43943,58000,7557,363,51500,76521,86,38654
Tripura,2013-03,42685,45028,57000,7176,177,52204,73984,86.6,40806
Tripura,2014-03,41571,44595,57000,7829,163,52424,77985,85.4,44368
Tripura,2015-03,41884,44735,57000,6779,136,51514,77290,87.1,48499
Tripura,2016-03,31317,33438,64000,4420,64,37858,56798,88.5,34699
Tripura,2017-03,41936,44664,64000,4813,16,49477,76813,90.3,48465
Tripura,2018-03,45071,47830,64000,4003,1,51833,75540,92.3,46022
Tripura,2019-03,44586,47007,58810,3336,16,50343,72307,93.4,46766
Tripura,2020-03,44334,48904,59400,3254,13,52158,67065,93.8,47227
Uttar Pradesh,2009-03,1495694,1501933,6241000,1468304,919421,2970237,5376516,81.5,1555087
Uttar Pradesh,2010-03,2162510,2218954,6269000,2290658,1518222,4509612,5804938,82.9,3456991
Uttar Pradesh,2011-03,2438220,2494494,6381000,1775451,1100207,4269945,5406172,84.2,3143576
Uttar Pradesh,2012-03,2238755,2258183,6163000,1401377,802383,3659560,4939035,83.6,2785230
Uttar Pradesh,2013-03,1961553,2031387,6178000,1204141,584593,3235528,4969973,80.9,2686088
Uttar Pradesh,2014-03,2323226,2409939,6238000,964026,484099,3373965,5710191,85.8,3146639
Uttar Pradesh,2015-03,2230032,2502543,6342000,915571,388552,3418114,5535650,84.6,2833683
Uttar Pradesh,2016-03,1758082,2177322,6405000,640369,157867,2817691,4073002,82.9,1959677
Uttar Pradesh,2017-03,2461720,2844786,6507000,784792,131301,3629578,5659485,82,2827529
Uttar Pradesh,2018-03,2555702,2946773,6532000,624120,94872,3570893,5818739,85.2,2630412
Uttar Pradesh,2019-03,2519939,3401350,6729430,570912,77335,3972262,6117234,87.6,2996142
Uttar Pradesh,2020-03,2596990,3605433,6827400,489648,68383,4095081,6745784,89.7,3886259
Uttarakhand,2009-03,50713,54825,216000,76964,45789,131789,243301,76.3,117168
Uttarakhand,2010-03,77961,79250,216000,53975,27542,133225,226481,80.2,116497
Uttarakhand,2011-03,76624,85705,219000,53478,28290,139183,203131,81.9,109829
Uttarakhand,2012-03,78590,87600,211000,52805,26528,140405,223737,81.3,127804
Uttarakhand,2013-03,84930,109328,210000,43775,21858,153103,203240,85.7,108681
Uttarakhand,2014-03,92425,118037,209000,40774,18705,158811,225294,86.1,121873
Uttarakhand,2015-03,98520,124015,212000,34301,14390,158316,215549,87.4,127101
Uttarakhand,2016-03,72285,90813,215000,21998,7965,112811,165035,87.6,101395
Uttarakhand,2017-03,93998,121178,218000,25057,9250,146235,216290,89.2,133744
Uttarakhand,2018-03,89687,122305,216000,20333,5687,142638,229256,89.7,139754
Uttarakhand,2019-03,87968,129173,214310,18668,4806,147841,230252,90.6,148429
Uttarakhand,2020-03,90453,135606,216700,17042,4249,152648,217191,91.6,153387
West Bengal,2009-03,757402,868688,1723000,588723,25019,1457411,1887862,61.3,817886
West Bengal,2010-03,758200,906406,1701000,504149,16159,1410555,1902114,65.4,872390
West Bengal,2011-03,792233,971786,1716000,454811,6285,1426597,1906787,68.6,994412
West Bengal,2012-03,919459,1071509,1645000,421443,7028,1492952,1957713,72.2,1132413
West Bengal,2013-03,890143,1071312,1639000,377695,3342,1449007,1879037,74.2,1183229
West Bengal,2014-03,899009,1186842,1642000,340820,285,1527662,1966304,77.7,1347372
West Bengal,2015-03,889924,1153207,1657000,244937,158,1398144,1866097,82.5,1364466
West Bengal,2016-03,710678,909389,1631000,131415,40,1040804,1264359,87.4,961704
West Bengal,2017-03,986586,1262810,1646000,98329,2578,1361139,1814561,93,1403930
West Bengal,2018-03,1003431,1266423,1648000,58464,1324,1324887,1656977,95.7,1360476
West Bengal,2019-03,1029089,1294541,1641410,28588,403,1323129,1640352,97.9,1437959
West Bengal,2020-03,999986,1248560,1654500,17639,80,1266199,1621046,98.6,1419251
